Concept ID,Label,Hierarchy,Type,Title,Related objects
1552,Single transaction,Content type,172,Single transaction,
1297,Letter orders,Content type,172,Letter order,
1249,Hiring,Content type,172,Hiring,
1198,Damaged,Content type,172,Damaged,
1549,Memorandum (taẖsistu ana la mašê),Content type,172,Memorandum (taẖsistu ana la mašê),
1294,Incoming & outgoing,Content type,172,Incoming & outgoing,
1246,Deposits,Content type,172,Deposit,
1192,Administrative,Content type,172,Administrative,
1546,Notes,Content type,172,Note,
1291,Outgoing,Content type,172,Outgoing,
1243,Commercial partnerships,Content type,172,Commercial partnership,
1081,Letters,Content type,172,Letter,
1543,Inventories,Content type,172,Inventory,
1288,Incoming,Content type,172,Incoming,
1240,Apprenticeships,Content type,172,Apprenticeship,
823,Legal - Other,Content type,172,Legal - Other,
1540,Other,Content type,172,Other,
1285,Summonses/Oaths/Injunctions,Content type,172,Summons/Oath/Injunction,
1237,Wills,Content type,172,Will,
820,Litigation,Content type,172,Litigation,
1537,Real estate - Other,Content type,172,Real estate - Other,
1282,Statements in court/Deposition,Content type,172,Statement in court/Deposition,
1234,Redemptions,Content type,172,Redemption,
817,Legal - Temporary,Content type,172,Legal - Temporary,
1387,-,Content type,172,-,
1279,Court protocols,Content type,172,Court protocol,
1231,Divisions (other than inheritance),Content type,172,Division (other than inheritance),
814,Legal - Permanent,Content type,172,Legal - Permanent,
1579,Single,Content type,172,Single,
1324,Indeterminate texts,Content type,172,Indeterminate text,
1276,Settlements of accounts,Content type,172,Settlement of accounts,
1228,Marriages,Content type,172,Marriage,
811,Correspondence,Content type,172,Correspondence,
1576,Multiple (list),Content type,172,Multiple (list),
1321,Indeterminate legal texts,Content type,172,Indeterminate legal text,
1273,Cancellations of agreement,Content type,172,Cancellation of agreement,
1225,Inheritances,Content type,172,Inheritance,
1573,Multiple instances,Content type,172,Multiple instances,
1318,Indeterminate administrative texts,Content type,172,Indeterminate administrative text,
1270,Receipts,Content type,172,Receipt,
1222,Exchanges,Content type,172,Exchange,
1570,Single instance,Content type,172,Single instance,
1315,Task completed,Task completed,172,Task completed,
1267,Securities for debts,Content type,172,Security for debt,
1219,Dowries,Content type,172,Dowry,
1567,Lists,Content type,172,List,
1264,Promissory notes ina muẖẖi,Content type,172,Promissory note ina muẖẖi,
1216,Free gifts,Content type,172,Free gift,
1564,Single transaction,Content type,172,Single transaction,
1261,Loans ina pani,Content type,172,Loan ina pani,
1213,Consecrations,Content type,172,Consecration,
1561,Multiple transactions,Content type,172,Multiple transactions,
1306,Receipts of income,Content type,172,Receipt of income,
1258,Grazing,Content type,172,Grazing,
1210,Manumissions,Content type,172,Manumission,
1558,Lists,Content type,172,List,
1303,Expenditures,Content type,172,Expenditure,
1255,Nursing,Content type,172,Nursing,
1207,Adoptions,Content type,172,Adoption,
1555,Multiple transactions,Content type,172,Multiple transactions,
1300,Balanced accounts,Content type,172,Balanced account,
1252,Leases,Content type,172,Lease,
1204,Purchases,Content type,172,Purchase,

